77.5203 	DATA 	Keypress: space
77.5335 	EXP 	read_number: height = 0.07
77.5335 	EXP 	read_number: height = 0.07
77.5335 	EXP 	read_number: height = 0.07
77.5335 	EXP 	read_number: text = '86'
77.7040 	DATA 	Keypress: space
77.7172 	EXP 	read_number: height = 0.07
77.7172 	EXP 	read_number: height = 0.07
77.7172 	EXP 	read_number: height = 0.07
77.7172 	EXP 	read_number: text = '73'
77.8708 	DATA 	Keypress: space
77.8841 	EXP 	read_number: height = 0.07
77.8841 	EXP 	read_number: height = 0.07
77.8841 	EXP 	read_number: height = 0.07
77.8841 	EXP 	read_number: text = '60'
78.0538 	DATA 	Keypress: space
78.0675 	EXP 	read_number: height = 0.07
78.0675 	EXP 	read_number: height = 0.07
78.0675 	EXP 	read_number: height = 0.07
78.0675 	EXP 	read_number: text = '47'
78.2379 	DATA 	Keypress: space
78.2507 	EXP 	read_number: height = 0.07
78.2507 	EXP 	read_number: height = 0.07
78.2507 	EXP 	read_number: height = 0.07
78.2507 	EXP 	read_number: text = '34'
78.5380 	DATA 	Keypress: space
78.5513 	EXP 	read_number: height = 0.07
78.5513 	EXP 	read_number: height = 0.07
78.5513 	EXP 	read_number: height = 0.07
78.5513 	EXP 	read_number: text = '21'
78.8382 	DATA 	Keypress: space
78.8518 	EXP 	read_number: height = 0.07
78.8518 	EXP 	read_number: height = 0.07
78.8518 	EXP 	read_number: height = 0.07
78.8518 	EXP 	read_number: text = '8'
79.0048 	DATA 	Keypress: space
79.0185 	EXP 	read_number: height = 0.07
79.0185 	EXP 	read_number: height = 0.07
79.0185 	EXP 	read_number: height = 0.07
79.0185 	EXP 	read_number: text = '1022'
79.1724 	DATA 	Keypress: space
79.1850 	EXP 	read_number: height = 0.07
79.1850 	EXP 	read_number: height = 0.07
79.1850 	EXP 	read_number: height = 0.07
79.1850 	EXP 	read_number: text = '1009'
79.3199 	DATA 	Keypress: space
79.3518 	EXP 	read_number: height = 0.07
79.3518 	EXP 	read_number: height = 0.07
79.3518 	EXP 	read_number: height = 0.07
79.3518 	EXP 	read_number: text = '996'
79.5245 	DATA 	Keypress: space
79.5354 	EXP 	read_number: height = 0.07
79.5354 	EXP 	read_number: height = 0.07
79.5354 	EXP 	read_number: height = 0.07
